instance,goal,verdict,duration
exp_acyclic_depvary_step8_batch_yyy09.pl,f2,no,2
exp_acyclic_depvary_step8_batch_yyy09.pl,c2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy09.pl,a1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy10.pl,d3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy10.pl,f1,yes,18
exp_acyclic_depvary_step8_batch_yyy10.pl,c5,no,35
exp_acyclic_depvary_step9_batch_yyy01.pl,b1,timeout,120000
exp_acyclic_depvary_step9_batch_yyy01.pl,b4,yes,1
exp_acyclic_depvary_step9_batch_yyy01.pl,e2,timeout,120000
exp_acyclic_depvary_step9_batch_yyy02.pl,b4,yes,0
exp_acyclic_depvary_step9_batch_yyy02.pl,e1,no,3
exp_acyclic_depvary_step9_batch_yyy02.pl,a3,timeout,120000
exp_acyclic_depvary_step9_batch_yyy02.pl,d2,timeout,120000
exp_acyclic_depvary_step9_batch_yyy02.pl,b5,yes,57
exp_acyclic_depvary_step9_batch_yyy02.pl,a1,timeout,120000
exp_acyclic_depvary_step9_batch_yyy03.pl,x4,yes,24312
exp_acyclic_depvary_step9_batch_yyy03.pl,b3,yes,344
exp_acyclic_depvary_step9_batch_yyy03.pl,a1,timeout,120000
exp_acyclic_depvary_step9_batch_yyy04.pl,b2,timeout,120001
exp_acyclic_depvary_step9_batch_yyy04.pl,f5,timeout,120000
exp_acyclic_depvary_step9_batch_yyy05.pl,a4,timeout,120000
exp_acyclic_depvary_step9_batch_yyy05.pl,a5,timeout,120000
exp_acyclic_depvary_step9_batch_yyy06.pl,f3,yes,353
exp_acyclic_depvary_step9_batch_yyy06.pl,a2,timeout,120000
exp_acyclic_depvary_step9_batch_yyy06.pl,f2,timeout,120000
exp_acyclic_depvary_step9_batch_yyy07.pl,q5,timeout,120000
exp_acyclic_depvary_step9_batch_yyy07.pl,b2,timeout,120000
exp_acyclic_depvary_step9_batch_yyy07.pl,a5,timeout,120000
exp_acyclic_depvary_step9_batch_yyy08.pl,c2,yes,0
exp_acyclic_depvary_step9_batch_yyy08.pl,b5,timeout,120000
exp_acyclic_depvary_step9_batch_yyy08.pl,z3,timeout,120000
exp_acyclic_depvary_step9_batch_yyy08.pl,b1,timeout,120000
exp_acyclic_depvary_step9_batch_yyy08.pl,a3,timeout,120000
