,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
173,yes,exp_acyclic_depvary_step4_batch_yyy01.pl,f2,1,5,9,0,10,1,1,10,1.0279033184051514
174,no,exp_cycles_indvary1_step5_batch_yyy06.pl,r5,,,,,,,,,0.9831247329711914
175,no,exp_cycles_indvary1_step6_batch_yyy05.pl,a4,,,,,,,,,0.976344108581543
176,no,exp_cycles_indvary1_step1_batch_yyy10.pl,p3,,,,,,,,,0.9514062404632568
177,no,exp_acyclic_depvary_step5_batch_yyy07.pl,u4,,,,,,,,,0.9820089340209961
178,no,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,,,,,,,,,0.9331896305084229
179,no,exp_cycles_indvary3_step6_batch_yyy07.pl,r2,,,,,,,,,0.9666504859924316
180,no,exp_cycles_indvary3_step6_batch_yyy03.pl,t4,,,,,,,,,0.9764013290405273
181,no,exp_cycles_indvary3_step2_batch_yyy04.pl,c4,,,,,,,,,0.956402063369751
182,no,exp_acyclic_indvary1_step7_batch_yyy03.pl,t4,,,,,,,,,0.9679913520812988
183,no,exp_acyclic_indvary1_step3_batch_yyy07.pl,a5,,,,,,,,,0.9710767269134521
184,no,exp_acyclic_indvary2_step1_batch_yyy09.pl,b6,,,,,,,,,0.9878654479980469
185,no,exp_cycles_depvary_step1_batch_yyy08.pl,e4,,,,,,,,,0.9421484470367432
186,no,exp_cycles_indvary2_step4_batch_yyy10.pl,q4,,,,,,,,,1.0329043865203857
187,no,exp_acyclic_indvary3_step4_batch_yyy05.pl,t6,,,,,,,,,0.9745838642120361
188,no,exp_cycles_indvary3_step6_batch_yyy03.pl,z3,,,,,,,,,1.0009360313415527
189,yes,exp_acyclic_indvary1_step8_batch_yyy07.pl,s2,0,3,7,0,7,0,1,7,1.014033317565918
190,no,exp_cycles_indvary1_step8_batch_yyy09.pl,b2,,,,,,,,,1.3084945678710938
191,no,exp_cycles_indvary3_step4_batch_yyy01.pl,r2,,,,,,,,,1.0800697803497314
192,yes,exp_acyclic_indvary2_step8_batch_yyy06.pl,p1,0,1,3,0,3,0,1,3,1.0763380527496338
193,no,exp_acyclic_indvary3_step5_batch_yyy06.pl,u4,,,,,,,,,0.9652037620544434
194,no,exp_acyclic_indvary1_step2_batch_yyy06.pl,w3,,,,,,,,,0.9829080104827881
195,no,exp_acyclic_depvary_step2_batch_yyy09.pl,b4,,,,,,,,,0.9515354633331299
196,no,exp_cycles_indvary2_step3_batch_yyy04.pl,z3,,,,,,,,,1.0061883926391602
197,no,exp_acyclic_indvary3_step3_batch_yyy01.pl,x4,,,,,,,,,0.9580886363983154
198,yes,exp_acyclic_indvary1_step3_batch_yyy03.pl,d2,1,1,5,9,6,15,1,14,1.0719919204711914
199,no,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,,,,,,,,,0.9457900524139404
200,no,exp_acyclic_indvary2_step2_batch_yyy08.pl,b5,,,,,,,,,0.987969160079956
201,no,exp_cycles_indvary3_step6_batch_yyy01.pl,f2,,,,,,,,,1.0295164585113525
202,no,exp_acyclic_indvary3_step3_batch_yyy01.pl,a3,,,,,,,,,1.0308566093444824
203,yes,exp_cycles_indvary1_step8_batch_yyy03.pl,r3,0,1,8,0,8,0,1,8,1.0352368354797363
204,no,exp_acyclic_indvary1_step7_batch_yyy05.pl,f4,,,,,,,,,0.9751651287078857
205,no,exp_cycles_indvary1_step5_batch_yyy03.pl,p7,,,,,,,,,0.9695212841033936
206,no,exp_cycles_depvary_step2_batch_yyy04.pl,a5,,,,,,,,,0.9442324638366699
207,no,exp_acyclic_indvary2_step3_batch_yyy08.pl,d5,,,,,,,,,1.0043096542358398
208,no,exp_cycles_depvary_step6_batch_yyy01.pl,q2,,,,,,,,,1.0600805282592773
209,yes,exp_acyclic_indvary2_step8_batch_yyy01.pl,t2,0,4,15,0,15,0,1,15,1.156290054321289
210,no,exp_cycles_indvary3_step6_batch_yyy01.pl,r4,,,,,,,,,0.9813685417175293
211,no,exp_cycles_indvary3_step5_batch_yyy09.pl,x3,,,,,,,,,0.9693698883056641
212,no,exp_acyclic_depvary_step7_batch_yyy01.pl,v3,,,,,,,,,1.3060753345489502
213,no,exp_acyclic_indvary1_step1_batch_yyy06.pl,q4,,,,,,,,,0.9429137706756592
214,no,exp_cycles_indvary3_step6_batch_yyy09.pl,z1,,,,,,,,,1.0781795978546143
215,yes,exp_acyclic_indvary1_step3_batch_yyy02.pl,t1,0,3,10,0,10,0,1,10,1.043677568435669
216,no,exp_acyclic_indvary2_step2_batch_yyy05.pl,w1,,,,,,,,,0.9947097301483154
217,no,exp_cycles_depvary_step9_batch_yyy09.pl,w1,,,,,,,,,1.0297553539276123
